Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
183,Below Average,14.396476,14396476,2429,Wednesday,Weekday (Wed),03-Apr-19,5  9  17  26  35  52  -  44,9.013509,9013509,0,No,No,94.237,94237,Below Average
184,Below Average,14.43715,14437150,2229,Wednesday,Weekday (Wed),03-May-17,13  22  24  34  41  57  -  40,11.684226,11684226,0,No,No,63.743,63743,Below Average
185,Below Average,14.455016,14455016,2187,Wednesday,Weekday (Wed),07-Dec-16,16  27  31  32  44  58  -  42,7.215444,7215444,0,No,No,70.276,70276,Below Average
186,Below Average,14.481128,14481128,2361,Wednesday,Weekday (Wed),08-Aug-18,8  19  20  27  31  34  -  7,10.956094,10956094,0,No,No,102.009,102009,Above Average
187,Below Average,14.490702,14490702,2183,Wednesday,Weekday (Wed),23-Nov-16,2  4  8  25  38  39  -  29,7.211954,7211954,0,No,No,106.586,106586,Above Average
188,Below Average,14.49603,14496030,2241,Wednesday,Weekday (Wed),14-Jun-17,2  4  14  23  34  46  -  45,14.877043,14877043,0,No,No,100.134,100134,Above Average
189,Below Average,14.496302,14496302,2223,Wednesday,Weekday (Wed),12-Apr-17,3  16  34  42  49  52  -  50,15.107556,15107556,1,Yes (1),Yes (Single Ticket),66.706,66706,Below Average
190,Below Average,14.499668,14499668,2265,Wednesday,Weekday (Wed),06-Sep-17,16  30  34  50  52  53  -  46,14.460089,14460089,0,No,No,47.35,47350,Below Average
191,Below Average,14.508298,14508298,2213,Wednesday,Weekday (Wed),08-Mar-17,11  19  22  42  43  49  -  48,12.020527,12020527,0,No,No,93.518,93518,Below Average
192,Below Average,14.518994,14518994,2175,Wednesday,Weekday (Wed),26-Oct-16,5  11  27  29  52  53  -  13,5.84584,5845840,0,No,No,78.437,78437,Below Average
193,Below Average,14.527818,14527818,2285,Wednesday,Weekday (Wed),15-Nov-17,2  11  22  36  51  59  -  7,15.654281,15654281,0,No,No,66.661,66661,Below Average
194,Below Average,14.538058,14538058,2221,Wednesday,Weekday (Wed),05-Apr-17,10  16  18  32  42  45  -  30,10.353081,10353081,0,No,No,86.051,86051,Below Average
195,Below Average,14.578614,14578614,2333,Wednesday,Weekday (Wed),02-May-18,4  8  10  26  38  48  -  41,14.638953,14638953,0,No,No,112.689,112689,Above Average
196,Below Average,14.58003,14580030,2441,Wednesday,Weekday (Wed),15-May-19,8  11  18  39  44  50  -  23,9.288519,9288519,0,No,No,84.304,84304,Below Average
197,Below Average,14.622528,14622528,2335,Wednesday,Weekday (Wed),09-May-18,18  21  25  30  56  59  -  5,18.418082,18418082,0,No,No,64.972,64972,Below Average
198,Below Average,14.6243,14624300,2409,Wednesday,Weekday (Wed),23-Jan-19,5  27  30  41  45  58  -  38,8.792887,8792887,0,No,No,71.244,71244,Below Average
199,Below Average,14.627294,14627294,2583,Wednesday,Weekday (Wed),23-Sep-20,8  17  28  35  47  51  -  52,8.998696,8998696,0,No,No,79.601,79601,Below Average
200,Below Average,14.635934,14635934,2435,Wednesday,Weekday (Wed),24-Apr-19,22  29  35  41  43  51  -  42,8.964024,8964024,0,No,No,60.82,60820,Below Average
201,Below Average,14.665648,14665648,2525,Wednesday,Weekday (Wed),04-Mar-20,4  7  14  19  50  56  -  8,9.06539,9065390,0,No,No,84.167,84167,Below Average
202,Below Average,14.682492,14682492,2593,Wednesday,Weekday (Wed),28-Oct-20,11  18  27  38  47  59  -  14,8.69217,8692170,0,No,No,81.485,81485,Below Average
203,Below Average,14.69047,14690470,2477,Wednesday,Weekday (Wed),18-Sep-19,1  25  28  34  39  57  -  50,8.712337,8712337,0,No,No,63.438,63438,Below Average
204,Below Average,14.70619,14706190,2199,Wednesday,Weekday (Wed),18-Jan-17,8  14  20  27  28  53  -  45,6.103436,6103436,2,Yes (2),Yes (Multiple Tickets),92.961,92961,Below Average
205,Below Average,14.720246,14720246,2589,Wednesday,Weekday (Wed),14-Oct-20,9  12  28  31  46  50  -  10,8.996243,8996243,1,Yes (1),Yes (Single Ticket),83.239,83239,Below Average
206,Below Average,14.784932,14784932,2207,Wednesday,Weekday (Wed),15-Feb-17,17  23  28  38  47  56  -  31,12.11823,12118230,0,No,No,76.303,76303,Below Average
207,Below Average,14.789416,14789416,2295,Wednesday,Weekday (Wed),20-Dec-17,10  20  28  38  41  46  -  16,18.61472,18614720,0,No,No,78.497,78497,Below Average
208,Below Average,14.810818,14810818,2555,Wednesday,Weekday (Wed),17-Jun-20,2  9  33  39  48  54  -  43,8.705423,8705423,0,No,No,72.076,72076,Below Average
209,Below Average,14.816708,14816708,2189,Wednesday,Weekday (Wed),14-Dec-16,3  7  8  9  40  58  -  36,12.040376,12040376,0,No,No,102.849,102849,Above Average
210,Below Average,14.821926,14821926,2231,Wednesday,Weekday (Wed),10-May-17,7  12  17  35  37  58  -  25,16.042516,16042516,0,No,No,86.295,86295,Below Average
211,Below Average,14.86572,14865720,2545,Wednesday,Weekday (Wed),13-May-20,14  16  19  31  38  47  -  20,8.556588,8556588,0,No,No,88.397,88397,Below Average
212,Below Average,14.884162,14884162,2303,Wednesday,Weekday (Wed),17-Jan-18,30  33  37  43  55  56  -  46,14.643856,14643856,0,No,No,54.146,54146,Below Average
213,Below Average,14.908908,14908908,2563,Wednesday,Weekday (Wed),15-Jul-20,9  27  29  37  44  53  -  49,9.008155,9008155,0,No,No,82.594,82594,Below Average
214,Below Average,14.923586,14923586,2501,Wednesday,Weekday (Wed),11-Dec-19,7  14  16  33  35  47  -  25,9.122574,9122574,0,No,No,96.661,96661,Below Average
215,Below Average,14.936586,14936586,2215,Wednesday,Weekday (Wed),15-Mar-17,6  24  27  38  39  58  -  55,16.422135,16422135,0,No,No,71.394,71394,Below Average
216,Below Average,14.95098,14950980,2515,Wednesday,Weekday (Wed),29-Jan-20,7  23  40  42  47  59  -  58,9.013157,9013157,0,No,No,74.311,74311,Below Average
217,Below Average,15,15000000,2505,Wednesday,Weekday (Wed),25-Dec-19,5  10  11  45  54  58  -  40,15,15000000,0,No,No,111.8,111800,Above Average
218,Below Average,15.11539,15115390,2177,Wednesday,Weekday (Wed),02-Nov-16,5  14  19  24  31  38  -  29,10.816275,10816275,1,Yes (1),Yes (Single Ticket),117.541,117541,Above Average
219,Below Average,15.115562,15115562,2273,Wednesday,Weekday (Wed),04-Oct-17,12  20  32  38  48  54  -  5,15.785809,15785809,0,No,No,66.311,66311,Below Average
220,Below Average,15.122,15122000,2243,Wednesday,Weekday (Wed),21-Jun-17,1  3  5  11  15  43  -  48,18.700435,18700435,0,No,No,123.1,123100,Above Average
221,Below Average,15.274188,15274188,2483,Wednesday,Weekday (Wed),09-Oct-19,14  22  40  44  55  58  -  12,8.866885,8866885,0,No,No,64.496,64496,Below Average
222,Below Average,15.292574,15292574,2421,Wednesday,Weekday (Wed),06-Mar-19,2  12  15  43  46  53  -  17,8.876514,8876514,0,No,No,73.819,73819,Below Average
223,Below Average,15.299198,15299198,2167,Wednesday,Weekday (Wed),28-Sep-16,19  29  37  41  51  53  -  55,11.106204,11106204,0,No,No,56.454,56454,Below Average
224,Below Average,15.299274,15299274,2577,Wednesday,Weekday (Wed),02-Sep-20,11  15  45  54  55  58  -  12,9.041705,9041705,0,No,No,59.452,59452,Below Average
225,Below Average,15.4247,15424700,2191,Wednesday,Weekday (Wed),21-Dec-16,10  13  22  35  42  52  -  27,16.574503,16574503,0,No,No,77.961,77961,Below Average
226,Below Average,15.5,15500000,2585,Wednesday,Weekday (Wed),30-Sep-20,10  25  34  41  46  55  -  36,2,2000000,0,No,No,54.992,54992,Below Average
227,Below Average,15.50568,15505680,2601,Wednesday,Weekday (Wed),25-Nov-20,11  18  30  33  44  55  -  48,9.261078,9261078,0,No,No,92.095,92095,Below Average
228,Below Average,15.679438,15679438,2405,Wednesday,Weekday (Wed),09-Jan-19,3  17  36  42  51  57  -  18,9.370844,9370844,1,Yes (1),Yes (Single Ticket),70.006,70006,Below Average
229,Below Average,15.77469,15774690,2169,Wednesday,Weekday (Wed),05-Oct-16,11  16  25  37  43  44  -  39,16.333383,16333383,0,No,No,103.908,103908,Above Average
230,Below Average,15.858136,15858136,2193,Wednesday,Weekday (Wed),28-Dec-16,5  40  47  48  52  54  -  33,22.170849,22170849,0,No,No,55.981,55981,Below Average
231,Below Average,15.922002,15922002,2233,Wednesday,Weekday (Wed),17-May-17,3  19  20  24  30  38  -  41,20.114637,20114637,0,No,No,115.965,115965,Above Average
232,Below Average,15.953466,15953466,2275,Wednesday,Weekday (Wed),11-Oct-17,17  38  49  54  55  56  -  13,19.875058,19875058,0,No,No,57.894,57894,Below Average
233,Below Average,16,16000000,2415,Wednesday,Weekday (Wed),13-Feb-19,4  8  26  31  42  45  -  55,14,14000000,0,No,No,116.21,116210,Above Average
234,Below Average,16.025528,16025528,2375,Wednesday,Weekday (Wed),26-Sep-18,3  8  37  39  47  59  -  42,21.555697,21555697,0,No,No,75.063,75063,Below Average
235,Below Average,16.08573,16085730,2507,Wednesday,Weekday (Wed),01-Jan-20,13  20  30  38  50  55  -  5,5.374793,5374793,1,Yes (1),Yes (Single Ticket),65.194,65194,Below Average
236,Below Average,16.610102,16610102,2535,Wednesday,Weekday (Wed),08-Apr-20,1  4  19  20  41  45  -  7,11.735036,11735036,0,No,No,102.749,102749,Above Average
237,Below Average,17.364,17364000,2171,Wednesday,Weekday (Wed),12-Oct-16,2  22  29  30  36  58  -  53,21.056054,21056054,0,No,No,88.761,88761,Below Average
238,Below Average,17.69144,17691440,2423,Wednesday,Weekday (Wed),13-Mar-19,1  11  29  40  46  48  -  17,12.984966,12984966,0,No,No,96.54,96540,Below Average
239,Below Average,17.778712,17778712,2453,Wednesday,Weekday (Wed),26-Jun-19,5  7  9  24  32  44  -  38,12.49721,12497210,0,No,No,120.9,120900,Above Average
240,Below Average,17.85576,17855760,2411,Wednesday,Weekday (Wed),30-Jan-19,7  22  31  43  47  58  -  2,12.950857,12950857,0,No,No,92.158,92158,Below Average
241,Below Average,17.86812,17868120,2459,Wednesday,Weekday (Wed),17-Jul-19,5  8  40  41  43  45  -  23,12.500333,12500333,0,No,No,98.866,98866,Below Average
242,Below Average,17.882032,17882032,2491,Wednesday,Weekday (Wed),06-Nov-19,17  22  25  27  32  35  -  5,6.317431,6317431,2,Yes (2),Yes (Multiple Tickets),106.486,106486,Above Average
243,Below Average,18.321584,18321584,2473,Wednesday,Weekday (Wed),04-Sep-19,11  13  32  40  45  49  -  39,12.852503,12852503,0,No,No,98.556,98556,Below Average
244,Below Average,18.535464,18535464,2467,Wednesday,Weekday (Wed),14-Aug-19,14  16  24  28  30  53  -  23,12.675909,12675909,0,No,No,102.82,102820,Above Average
245,Average Sales,18.555,18555000,0,Average Sales,Average Sales,,,29,29000000,,,Average Sales,239.9,239900,
246,Above Average,18.58718,18587180,2485,Wednesday,Weekday (Wed),16-Oct-19,4  5  18  29  40  47  -  57,13.02371,13023710,0,No,No,115.509,115509,Above Average
247,Above Average,18.771574,18771574,2532,Saturday,Weekend (Sat),28-Mar-20,8  14  27  33  46  49  -  11,6.777904,6777904,0,No,No,117.821,117821,Above Average
248,Above Average,18.90147,18901470,2541,Wednesday,Weekday (Wed),29-Apr-20,16  17  32  36  40  47  -  4,12.384648,12384648,0,No,No,104.223,104223,Below Average
249,Above Average,19.036344,19036344,2479,Wednesday,Weekday (Wed),25-Sep-19,3  4  16  39  43  52  -  47,12.907599,12907599,0,No,No,98.863,98863,Below Average
250,Above Average,19.458018,19458018,2557,Wednesday,Weekday (Wed),24-Jun-20,1  8  33  50  52  57  -  41,12.867635,12867635,0,No,No,83.964,83964,Below Average
251,Above Average,19.877252,19877252,2417,Wednesday,Weekday (Wed),20-Feb-19,3  11  17  33  41  51  -  48,18.44818,18448180,0,No,No,115.004,115004,Above Average
252,Above Average,20.029072,20029072,2173,Wednesday,Weekday (Wed),19-Oct-16,2  3  4  32  54  59  -  12,26.19638,26196380,1,Yes (1),Yes (Single Ticket),91.575,91575,Below Average
253,Above Average,20.146752,20146752,2538,Saturday,Weekend (Sat),18-Apr-20,3  6  31  43  46  53  -  26,7.006533,7006533,0,No,No,101.55,101550,Below Average
254,Above Average,20.246118,20246118,2595,Wednesday,Weekday (Wed),04-Nov-20,10  20  28  32  35  50  -  24,12.98018,12980180,0,No,No,104.377,104377,Below Average
255,Above Average,20.308724,20308724,2574,Saturday,Weekend (Sat),22-Aug-20,19  23  24  28  37  51  -  12,3.988224,3988224,0,No,No,111.92,111920,Above Average
256,Above Average,20.562738,20562738,2548,Saturday,Weekend (Sat),23-May-20,15  37  38  42  45  59  -  54,4.013092,4013092,0,No,No,89.289,89289,Below Average
257,Above Average,20.764434,20764434,2586,Saturday,Weekend (Sat),03-Oct-20,1  4  13  24  27  47  -  2,4.032838,4032838,0,No,No,172.986,172986,Above Average
258,Above Average,20.77085,20770850,2377,Wednesday,Weekday (Wed),03-Oct-18,3  5  11  25  27  45  -  18,26.364533,26364533,0,No,No,183.735,183735,Above Average
259,Above Average,20.814944,20814944,2528,Saturday,Weekend (Sat),14-Mar-20,7  22  30  38  42  47  -  14,4.037783,4037783,1,Yes (1),Yes (Single Ticket),141.282,141282,Above Average
260,Above Average,20.822904,20822904,2350,Saturday,Weekend (Sat),30-Jun-18,6  28  32  45  46  49  -  50,4.986777,4986777,0,No,No,115.636,115636,Above Average
261,Above Average,20.85004,20850040,2544,Saturday,Weekend (Sat),09-May-20,7  18  21  26  42  50  -  59,7.101234,7101234,0,No,No,139.986,139986,Above Average
262,Above Average,20.872482,20872482,2512,Saturday,Weekend (Sat),18-Jan-20,14  29  35  41  42  55  -  11,4.043416,4043416,0,No,No,97.588,97588,Below Average
263,Above Average,20.899858,20899858,2297,Wednesday,Weekday (Wed),27-Dec-17,18  36  48  57  58  59  -  50,24.43052,24430520,0,No,No,111.934,111934,Above Average
264,Above Average,20.912236,20912236,2534,Saturday,Weekend (Sat),04-Apr-20,4  22  28  39  45  49  -  25,10.108907,10108907,0,No,No,124.593,124593,Above Average
265,Above Average,20.960062,20960062,2580,Saturday,Weekend (Sat),12-Sep-20,5  23  36  37  42  52  -  14,4.05199,4051990,0,No,No,109.746,109746,Above Average
266,Above Average,21,21000000,2406,Saturday,Weekend (Sat),12-Jan-19,13  29  32  43  49  55  -  26,3.8,3800000,0,No,No,103.487,103487,Below Average
267,Above Average,21,21000000,2412,Saturday,Weekend (Sat),02-Feb-19,1  6  41  53  55  59  -  20,3.8,3800000,0,No,No,81.817,81817,Below Average
268,Above Average,21,21000000,2418,Saturday,Weekend (Sat),23-Feb-19,6  9  38  40  42  48  -  57,3.8,3800000,0,No,No,135.175,135175,Above Average
269,Above Average,21,21000000,2424,Saturday,Weekend (Sat),16-Mar-19,6  26  32  37  42  59  -  38,3.8,3800000,1,Yes (1),Yes (Single Ticket),105,105000,Above Average
270,Above Average,21,21000000,2446,Saturday,Weekend (Sat),01-Jun-19,8  26  36  39  40  47  -  42,3.8,3800000,1,Yes (1),Yes (Single Ticket),110.235,110235,Above Average
271,Above Average,21,21000000,2448,Saturday,Weekend (Sat),08-Jun-19,12  13  22  37  42  55  -  43,3.8,3800000,0,No,No,112.41,112410,Above Average
272,Above Average,21,21000000,2454,Saturday,Weekend (Sat),29-Jun-19,11  32  43  44  47  52  -  27,3.8,3800000,0,No,No,105.71,105710,Above Average
273,Above Average,21,21000000,2460,Saturday,Weekend (Sat),20-Jul-19,14  18  23  28  36  37  -  32,3.8,3800000,0,No,No,141.865,141865,Above Average
274,Above Average,21,21000000,2462,Saturday,Weekend (Sat),27-Jul-19,14  19  30  45  48  58  -  3,3.8,3800000,0,No,No,99.196,99196,Below Average
275,Above Average,21,21000000,2468,Saturday,Weekend (Sat),17-Aug-19,6  9  10  41  46  58  -  45,3.8,3800000,0,No,No,111.366,111366,Above Average
276,Above Average,21,21000000,2474,Saturday,Weekend (Sat),07-Sep-19,3  13  27  30  32  37  -  8,3.8,3800000,1,Yes (1),Yes (Single Ticket),148.373,148373,Above Average
277,Above Average,21,21000000,2480,Saturday,Weekend (Sat),28-Sep-19,2  19  21  23  29  42  -  26,3.8,3800000,0,No,No,176.168,176168,Above Average
278,Above Average,21,21000000,2486,Saturday,Weekend (Sat),19-Oct-19,8  15  17  31  33  52  -  13,3.8,3800000,0,No,No,127.148,127148,Above Average
279,Above Average,21,21000000,2492,Saturday,Weekend (Sat),09-Nov-19,2  11  16  46  51  58  -  31,3.8,3800000,0,No,No,97.634,97634,Below Average
280,Above Average,21,21000000,2504,Saturday,Weekend (Sat),21-Dec-19,12  27  33  36  42  45  -  26,3.8,3800000,0,No,No,145.525,145525,Above Average
281,Above Average,21,21000000,2506,Saturday,Weekend (Sat),28-Dec-19,1  2  12  23  41  55  -  9,3.8,3800000,0,No,No,126.99,126990,Above Average
282,Above Average,21,21000000,2508,Saturday,Weekend (Sat),04-Jan-20,3  13  14  34  50  51  -  11,3.8,3800000,0,No,No,91.35,91350,Below Average
283,Above Average,21,21000000,2518,Saturday,Weekend (Sat),08-Feb-20,8  35  42  43  54  59  -  21,3.8,3800000,0,No,No,84.091,84091,Below Average
284,Above Average,21,21000000,2520,Saturday,Weekend (Sat),15-Feb-20,10  11  33  41  45  54  -  18,3.8,3800000,1,Yes (1),Yes (Single Ticket),103.34,103340,Below Average
285,Above Average,21,21000000,2530,Saturday,Weekend (Sat),21-Mar-20,12  26  29  34  56  58  -  41,3.8,3800000,0,No,No,86.579,86579,Below Average
286,Above Average,21,21000000,2536,Saturday,Weekend (Sat),11-Apr-20,20  28  30  31  44  55  -  50,3.8,3800000,0,No,No,97.196,97196,Below Average
287,Above Average,21,21000000,2542,Saturday,Weekend (Sat),02-May-20,14  18  23  39  44  52  -  47,3.8,3800000,0,No,No,111.88,111880,Above Average
288,Above Average,21,21000000,2552,Saturday,Weekend (Sat),06-Jun-20,3  6  12  17  35  40  -  33,3.8,3800000,0,No,No,164.762,164762,Above Average
289,Above Average,21,21000000,2558,Saturday,Weekend (Sat),27-Jun-20,2  15  19  33  37  43  -  12,7.5,7500000,2,Yes (2),Yes (Multiple Tickets),166.999,166999,Above Average
290,Above Average,21,21000000,2566,Saturday,Weekend (Sat),25-Jul-20,10  13  14  18  33  34  -  15,3.8,3800000,0,No,No,130.238,130238,Above Average
291,Above Average,21,21000000,2568,Saturday,Weekend (Sat),01-Aug-20,4  10  13  24  53  56  -  22,3.8,3800000,0,No,No,106.564,106564,Above Average
292,Above Average,21,21000000,2590,Saturday,Weekend (Sat),17-Oct-20,26  32  38  41  49  51  -  46,3.8,3800000,0,No,No,89.173,89173,Below Average
293,Above Average,21.012356,21012356,2354,Saturday,Weekend (Sat),14-Jul-18,4  8  13  26  41  55  -  58,3.115342,3115342,0,No,No,130.08,130080,Above Average
294,Above Average,21.02003,21020030,2398,Saturday,Weekend (Sat),15-Dec-18,5  26  34  35  43  49  -  19,4.057861,4057861,0,No,No,116.651,116651,Above Average
295,Above Average,21.166412,21166412,2328,Saturday,Weekend (Sat),14-Apr-18,10  40  42  46  47  48  -  38,4.933456,4933456,0,No,No,100.881,100881,Below Average
296,Above Average,21.172076,21172076,2352,Saturday,Weekend (Sat),07-Jul-18,17  18  29  48  52  54  -  1,9.05621,9056210,0,No,No,89.131,89131,Below Average
297,Above Average,21.203576,21203576,2570,Saturday,Weekend (Sat),08-Aug-20,2  40  49  53  56  58  -  41,7.178766,7178766,0,No,No,74.379,74379,Below Average
298,Above Average,21.21002,21210020,2560,Saturday,Weekend (Sat),04-Jul-20,32  33  34  48  52  57  -  13,4.076461,4076461,0,No,No,82.019,82019,Below Average
299,Above Average,21.231076,21231076,2338,Saturday,Weekend (Sat),19-May-18,1  3  34  36  48  52  -  22,5.057464,5057464,0,No,No,98.801,98801,Below Average
300,Above Average,21.296782,21296782,2392,Saturday,Weekend (Sat),24-Nov-18,15  27  30  32  42  43  -  10,4.084955,4084955,1,Yes (1),Yes (Single Ticket),117.878,117878,Above Average
301,Above Average,21.298816,21298816,2444,Saturday,Weekend (Sat),25-May-19,5  9  26  35  43  54  -  24,4.085154,4085154,1,Yes (1),Yes (Single Ticket),120.799,120799,Above Average
302,Above Average,21.35091,21350910,2394,Saturday,Weekend (Sat),01-Dec-18,5  8  9  12  31  49  -  57,4.090254,4090254,0,No,No,210.743,210743,Above Average
303,Above Average,21.376354,21376354,2456,Saturday,Weekend (Sat),06-Jul-19,24  30  44  50  56  57  -  9,7.16113,7161130,0,No,No,78.675,78675,Below Average
304,Above Average,21.383168,21383168,2358,Saturday,Weekend (Sat),28-Jul-18,11  29  31  32  38  45  -  10,4.997402,4997402,0,No,No,125.77,125770,Above Average
305,Above Average,21.416354,21416354,2432,Saturday,Weekend (Sat),13-Apr-19,4  10  15  24  37  38  -  30,4.096661,4096661,0,No,No,148.212,148212,Above Average
306,Above Average,21.429274,21429274,2554,Saturday,Weekend (Sat),13-Jun-20,10  12  19  21  35  51  -  42,7.255444,7255444,0,No,No,128.582,128582,Above Average
307,Above Average,21.434116,21434116,2522,Saturday,Weekend (Sat),22-Feb-20,21  23  25  27  36  47  -  17,4.0984,4098400,0,No,No,135.311,135311,Above Average
308,Above Average,21.45902,21459020,2450,Saturday,Weekend (Sat),15-Jun-19,7  40  42  47  52  54  -  29,7.154203,7154203,0,No,No,86.897,86897,Below Average
309,Above Average,21.472054,21472054,2316,Saturday,Weekend (Sat),03-Mar-18,15  19  20  29  42  50  -  36,3.183498,3183498,0,No,No,109.54,109540,Above Average
310,Above Average,21.472488,21472488,2330,Saturday,Weekend (Sat),21-Apr-18,2  8  9  12  20  57  -  38,8.949271,8949271,0,No,No,169.512,169512,Above Average
311,Above Average,21.477046,21477046,2356,Saturday,Weekend (Sat),21-Jul-18,9  13  16  25  40  46  -  52,7.748131,7748131,1,Yes (1),Yes (Single Ticket),143.862,143862,Above Average
312,Above Average,21.497414,21497414,2366,Saturday,Weekend (Sat),25-Aug-18,9  22  33  39  41  56  -  48,3.187258,3187258,0,No,No,105.651,105651,Above Average
313,Above Average,21.49951,21499510,2488,Saturday,Weekend (Sat),26-Oct-19,16  23  26  38  56  59  -  32,7.212165,7212165,0,No,No,94.122,94122,Below Average
314,Above Average,21.54403,21544030,2344,Saturday,Weekend (Sat),09-Jun-18,3  17  20  55  56  58  -  57,9.267495,9267495,0,No,No,84.399,84399,Below Average
315,Above Average,21.54763,21547630,2604,Saturday,Weekend (Sat),05-Dec-20,13  38  47  51  52  59  -  18,4.109513,4109513,0,No,No,81.883,81883,Below Average
316,Above Average,21.553198,21553198,2342,Saturday,Weekend (Sat),02-Jun-18,4  32  38  43  51  58  -  10,5.085086,5085086,0,No,No,82.139,82139,Below Average
317,Above Average,21.65384,21653840,2426,Saturday,Weekend (Sat),23-Mar-19,6  26  30  50  52  59  -  27,4.119911,4119911,0,No,No,84.748,84748,Below Average
318,Above Average,21.705782,21705782,2562,Saturday,Weekend (Sat),11-Jul-20,9  10  14  17  32  58  -  22,7.548573,7548573,0,No,No,128.467,128467,Above Average
319,Above Average,21.736994,21736994,2368,Saturday,Weekend (Sat),01-Sep-18,3  21  22  38  46  55  -  50,7.852229,7852229,0,No,No,108.534,108534,Above Average
320,Above Average,21.745852,21745852,2598,Saturday,Weekend (Sat),14-Nov-20,25  37  39  44  50  56  -  13,4.128919,4128919,0,No,No,88.211,88211,Below Average
321,Above Average,21.77221,21772210,2364,Saturday,Weekend (Sat),18-Aug-18,1  2  6  12  13  55  -  11,5.188105,5188105,0,No,No,161.819,161819,Above Average
322,Above Average,21.797334,21797334,2498,Saturday,Weekend (Sat),30-Nov-19,8  16  24  36  40  57  -  51,4.133959,4133959,0,No,No,120.089,120089,Above Average
323,Above Average,21.822922,21822922,2510,Saturday,Weekend (Sat),11-Jan-20,27  28  46  51  55  57  -  14,7.244823,7244823,1,Yes (1),Yes (Single Ticket),80.219,80219,Below Average
324,Above Average,21.832554,21832554,2464,Saturday,Weekend (Sat),03-Aug-19,8  30  34  44  45  57  -  31,7.207889,7207889,0,No,No,101.256,101256,Below Average
325,Above Average,21.88142,21881420,2402,Saturday,Weekend (Sat),29-Dec-18,26  31  38  40  45  57  -  28,4.142191,4142191,0,No,No,93.925,93925,Below Average
326,Above Average,21.901482,21901482,2320,Saturday,Weekend (Sat),17-Mar-18,7  8  13  24  45  46  -  39,5.060421,5060421,0,No,No,161.675,161675,Above Average
327,Above Average,21.905874,21905874,2380,Saturday,Weekend (Sat),13-Oct-18,19  26  40  52  56  58  -  38,8.130368,8130368,0,No,No,80.136,80136,Below Average
328,Above Average,21.96759,21967590,2550,Saturday,Weekend (Sat),30-May-20,2  6  8  32  33  35  -  45,7.484179,7484179,1,Yes (1),Yes (Single Ticket),140.202,140202,Above Average
329,Above Average,21.984412,21984412,2434,Saturday,Weekend (Sat),20-Apr-19,7  8  11  17  34  54  -  4,7.531166,7531166,0,No,No,159.166,159166,Above Average
330,Above Average,21.991604,21991604,2540,Saturday,Weekend (Sat),25-Apr-20,3  9  21  25  28  59  -  36,10.534194,10534194,0,No,No,159.058,159058,Above Average
